win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.426000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,1
0.381000,0.000000,0.000000,0.619000,0.381000,0.323800,0.442900,0.143411,0.000000,0.000000,1000,1
0.672000,0.672000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.000000,0.000000,1000,1
0.253000,0.253000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.841000,0.841000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.105000,0.105000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.001116,0.000000,1000,1
0.235000,0.235000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.000000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.500000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.500000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.499534,0.000000,1000,1
0.484000,0.999000,0.484484,1.000000,0.000000,0.593794,0.439139,0.260758,0.000000,0.000000,1000,1
0.000000,0.361000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000,1
0.855000,0.855000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.894000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,1
0.858000,0.143000,0.006993,0.000000,1.000000,0.202797,0.795105,0.161245,0.006993,0.000000,1000,1
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000,1
0.001000,0.540000,0.001852,0.000000,0.000000,0.000741,0.998333,0.000740,0.000000,0.000000,1000,1
0.588000,0.588000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.363000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
1.000000,0.549000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
0.501000,0.501000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.000000,0.000000,1000,0
0.619000,0.619000,1.000000,0.997375,0.000000,0.798950,0.798163,0.637692,0.000000,0.000000,1000,1
0.301000,0.301000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,1
0.866000,0.865000,1.000000,0.000000,0.007407,0.401481,0.100000,0.040148,-nan(ind),-nan(ind),1000,0
0.131000,1.000000,0.131000,0.000000,0.000000,0.052400,0.882100,0.046222,0.000000,0.000000,1000,1
0.001000,0.037000,0.027027,0.000000,0.000000,0.010811,0.975676,0.010548,0.000000,0.000000,1000,0
0.018000,0.018000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
0.069000,1.000000,0.069000,0.000000,0.000000,0.027600,0.937900,0.025886,0.000000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
1.000000,0.874000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,1
0.871000,0.000000,0.000000,0.129000,0.871000,0.225800,0.735500,0.166076,0.000000,0.000000,1000,0
0.279000,0.279000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.000000,0.000000,1000,1
0.999000,0.999000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.223173,0.000000,1000,0
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.500000,0.000000,1000,0
1.000000,0.999000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,0.500000,0.000000,1000,0
0.823000,1.000000,0.823000,0.000000,0.000000,0.329200,0.259300,0.085362,0.000000,0.000000,1000,0
0.000000,0.678000,0.000000,1.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.000000,0.000000,0.000000,0.490000,0.000000,0.196000,0.559000,0.109564,0.000000,0.000000,1000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,1
0.775000,0.775000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.112000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
0.117000,0.883000,0.000000,0.000000,1.000000,0.200000,0.800000,0.160000,0.000000,0.000000,1000,1
0.071000,0.071000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.999000,0.999000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.823000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
1.000000,0.109000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,1.000000,0.000000,1000,0
0.999000,1.000000,0.999000,0.000000,0.000000,0.399600,0.100900,0.040320,0.999000,0.000000,1000,0
0.772000,0.772000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,1.000000,0.000000,1000,1
0.303000,0.303000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.672000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
1.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.800000,0.160000,-nan(ind),-nan(ind),1000,1
0.524000,0.000000,0.000000,0.476000,0.524000,0.295200,0.562000,0.165902,0.000000,0.000000,1000,1
0.001000,0.001000,1.000000,0.331331,0.000000,0.532533,0.331932,0.176765,0.000000,0.000000,1000,1
0.766000,0.766000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.081000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
0.116000,0.000000,0.000000,0.883000,0.116000,0.376400,0.205300,0.077275,0.000000,0.000000,1000,1
0.063000,0.953000,0.066107,1.000000,0.000000,0.426443,0.146275,0.062378,0.000000,0.000000,1000,1
0.868000,0.868000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.207000,0.001000,1.000000,0.000000,0.206206,0.441241,0.100000,0.044124,-nan(ind),-nan(ind),1000,1
1.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.800000,0.160000,-nan(ind),-nan(ind),1000,0
0.847000,0.152000,0.000000,0.001179,0.998821,0.200236,0.799410,0.160071,0.000000,0.000000,1000,0
0.000000,0.704000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000,1
0.389000,0.389000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.999000,0.999000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,0.999000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,-nan(ind),-nan(ind),1000,0
0.480000,0.480000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.001000,0.660000,0.001515,0.000000,0.000000,0.000606,0.998636,0.000605,0.001000,0.000000,1000,1
0.001000,0.205000,0.004878,0.000000,0.000000,0.001951,0.995610,0.001943,0.000000,0.000000,1000,1
0.847000,0.847000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
0.186000,1.000000,0.186000,0.000000,0.000000,0.074400,0.832600,0.061945,0.000000,0.000000,1000,0
0.001000,0.115000,0.008696,0.000000,0.000000,0.003478,0.992174,0.003451,0.000000,0.000000,1000,1
0.967000,0.967000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.002000,0.001000,1.000000,0.000000,0.001001,0.400200,0.100000,0.040020,-nan(ind),-nan(ind),1000,0
1.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.800000,0.160000,-nan(ind),-nan(ind),1000,0
0.009000,0.923000,0.002167,0.000000,0.090909,0.019049,0.980301,0.018673,0.001085,0.000000,1000,1
0.094000,0.094000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
0.885000,0.885000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
