win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,1
0.000000,0.574000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,1
0.619000,1.000000,0.619000,0.000000,0.000000,0.247600,0.442900,0.109662,0.000000,0.000000,1000,1
0.328000,0.328000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.747000,0.747000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.159000,0.159000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.000000,0.000000,0.000000,0.862000,0.000000,0.344800,0.224200,0.077304,0.000000,0.000000,1000,1
0.895000,0.895000,1.000000,0.990476,0.000000,0.796191,0.793333,0.631644,0.000000,0.001116,1000,1
0.765000,0.765000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.500000,1000,1
0.000000,0.000000,0.000000,0.001000,0.000000,0.000400,0.999100,0.000400,0.000000,0.500000,1000,1
0.000000,0.000000,0.000000,0.464000,0.000000,0.185600,0.582400,0.108093,0.000000,0.499534,1000,1
0.516000,0.001000,1.000000,0.484484,0.515516,0.696897,0.536036,0.373562,0.000000,0.000000,1000,1
1.000000,0.639000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,0.000000,0.000000,1000,1
0.145000,0.145000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.000000,0.106000,0.000000,0.001119,0.000000,0.000447,0.998993,0.000447,-nan(ind),-nan(ind),1000,1
0.142000,0.857000,0.000000,0.000000,0.993007,0.198601,0.801399,0.159159,0.000000,0.006993,1000,1
1.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.800000,0.160000,0.000000,0.000000,1000,1
0.999000,0.460000,1.000000,0.000000,0.998148,0.599630,0.100000,0.059963,0.000000,0.000000,1000,1
0.412000,0.412000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.000000,0.637000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,0
0.000000,0.451000,0.000000,1.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
0.499000,0.499000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.000000,0.000000,1000,0
0.381000,0.381000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.699000,0.699000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.134000,0.135000,0.992593,1.000000,0.000000,0.797037,0.794815,0.633497,-nan(ind),-nan(ind),1000,0
0.869000,0.000000,0.000000,0.131000,0.869000,0.226200,0.734500,0.166144,0.000000,0.000000,1000,1
0.999000,0.963000,1.000000,0.000000,0.972973,0.594595,0.100000,0.059459,0.000000,0.000000,1000,0
0.982000,0.982000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.000000,0.000000,0.000000,0.108000,0.000000,0.043200,0.902800,0.039001,-nan(ind),-nan(ind),1000,1
0.000000,0.000000,0.000000,1.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
0.000000,0.000000,0.000000,1.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,0
0.931000,0.000000,0.000000,0.000000,0.931000,0.186200,0.813800,0.151530,0.000000,0.000000,1000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,0
0.000000,0.126000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,1
0.129000,1.000000,0.129000,0.000000,0.000000,0.051600,0.883900,0.045609,0.000000,0.000000,1000,0
0.721000,0.721000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
0.001000,0.001000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.223173,1000,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.500000,1000,0
0.000000,0.001000,0.000000,0.225225,0.000000,0.090090,0.797297,0.071829,0.000000,0.500000,1000,0
0.177000,0.000000,0.000000,0.823000,0.177000,0.364600,0.259300,0.094541,0.000000,0.000000,1000,0
1.000000,0.322000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,0.000000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,0.000000,1000,1
1.000000,1.000000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.225000,0.225000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.000000,0.888000,0.000000,0.008929,0.000000,0.003571,0.991964,0.003543,-nan(ind),-nan(ind),1000,0
0.883000,0.117000,0.000000,0.000000,1.000000,0.200000,0.800000,0.160000,0.000000,0.000000,1000,1
0.929000,0.929000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.001000,0.001000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
0.000000,0.177000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-nan(ind),-nan(ind),1000,0
0.000000,0.891000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1000,0
0.001000,0.000000,0.000000,0.000000,0.001000,0.000200,0.999800,0.000200,0.000000,0.999000,1000,0
0.228000,0.228000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,0.000000,1.000000,1000,1
0.697000,0.697000,1.000000,0.000000,0.000000,0.400000,0.100000,0.040000,-nan(ind),-nan(ind),1000,1
