win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.600000,0.300000,1.000000,0.142857,0.428571,0.542857,0.228571,0.124082,0.333333,0.000000,10,3404
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.714286,0.000000,10,3660
0.800000,0.600000,1.000000,0.250000,0.500000,0.600000,0.325000,0.195000,0.600000,0.000000,10,3313
0.800000,0.600000,1.000000,0.250000,0.500000,0.600000,0.325000,0.195000,0.750000,0.000000,10,2934
0.800000,0.400000,1.000000,0.166667,0.666667,0.600000,0.250000,0.150000,0.750000,0.000000,10,2803
0.600000,0.500000,0.800000,0.200000,0.400000,0.480000,0.460000,0.220800,0.333333,0.000000,10,3536
0.600000,0.400000,1.000000,0.333333,0.333333,0.600000,0.400000,0.240000,0.250000,0.000000,10,3230
0.600000,0.300000,1.000000,0.000000,0.428571,0.485714,0.100000,0.048571,0.666667,0.000000,10,3351
1.000000,0.600000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,1.000000,0.000000,10,2923
0.700000,0.700000,0.714286,0.000000,0.666667,0.419048,0.357143,0.149660,0.400000,0.000000,10,3214
0.700000,0.400000,1.000000,0.166667,0.500000,0.566667,0.250000,0.141667,0.666667,0.000000,10,3123
0.600000,0.500000,1.000000,0.200000,0.200000,0.520000,0.280000,0.145600,0.000000,0.000000,10,2958
0.900000,0.700000,1.000000,0.000000,0.666667,0.533333,0.100000,0.053333,0.800000,0.000000,10,3125
0.900000,0.600000,1.000000,0.000000,0.750000,0.550000,0.100000,0.055000,0.750000,0.250000,10,3256
0.600000,0.500000,1.000000,0.000000,0.200000,0.440000,0.100000,0.044000,0.333333,0.000000,10,3431
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.750000,0.000000,10,3543
0.600000,0.500000,1.000000,0.000000,0.200000,0.440000,0.100000,0.044000,0.250000,0.000000,10,3103
0.700000,0.500000,1.000000,0.000000,0.400000,0.480000,0.100000,0.048000,0.500000,0.000000,10,3731
0.600000,0.400000,1.000000,0.000000,0.333333,0.466667,0.100000,0.046667,0.000000,0.000000,10,3190
0.400000,0.200000,1.000000,0.000000,0.250000,0.450000,0.100000,0.045000,0.333333,0.000000,10,3823
0.600000,0.300000,1.000000,0.285714,0.428571,0.600000,0.357143,0.214286,0.333333,0.000000,10,3324
0.400000,0.200000,1.000000,0.375000,0.250000,0.600000,0.412500,0.247500,0.285714,0.000000,10,3739
0.700000,0.500000,0.800000,0.000000,0.600000,0.440000,0.280000,0.123200,0.600000,0.000000,10,2988
0.700000,0.600000,1.000000,0.500000,0.250000,0.650000,0.500000,0.325000,0.500000,0.000000,10,3487
0.800000,0.700000,1.000000,0.000000,0.333333,0.466667,0.100000,0.046667,1.000000,0.000000,10,3144
0.700000,0.500000,1.000000,0.000000,0.400000,0.480000,0.100000,0.048000,0.500000,0.000000,10,3052
0.800000,0.700000,1.000000,0.000000,0.333333,0.466667,0.100000,0.046667,0.800000,0.000000,10,3366
0.800000,0.600000,1.000000,0.250000,0.500000,0.600000,0.325000,0.195000,0.600000,0.000000,10,3025
0.800000,0.500000,1.000000,0.200000,0.600000,0.600000,0.280000,0.168000,0.333333,0.000000,10,3126
0.800000,0.400000,1.000000,0.000000,0.666667,0.533333,0.100000,0.053333,1.000000,0.000000,10,3022
0.500000,0.400000,1.000000,0.166667,0.166667,0.500000,0.250000,0.125000,0.500000,0.000000,10,3801
0.400000,0.400000,0.750000,0.000000,0.166667,0.333333,0.325000,0.108333,0.142857,0.142857,10,3785
0.600000,0.200000,1.000000,0.375000,0.500000,0.650000,0.437500,0.284375,0.285714,0.142857,10,3362
0.700000,0.500000,1.000000,0.400000,0.400000,0.640000,0.460000,0.294400,0.400000,0.000000,10,3103
0.900000,0.700000,1.000000,0.000000,0.666667,0.533333,0.100000,0.053333,0.750000,0.000000,10,3328
0.800000,0.700000,1.000000,0.333333,0.333333,0.600000,0.400000,0.240000,0.800000,0.000000,10,3370
0.600000,0.500000,1.000000,0.800000,0.200000,0.760000,0.700000,0.532000,0.200000,0.000000,10,3159
0.300000,0.300000,0.666667,0.142857,0.142857,0.352381,0.528571,0.186259,0.333333,0.000000,10,3935
0.600000,0.400000,1.000000,0.000000,0.333333,0.466667,0.100000,0.046667,0.500000,0.125000,10,3487
0.800000,0.500000,1.000000,0.000000,0.600000,0.520000,0.100000,0.052000,0.666667,0.000000,10,3525
0.400000,0.300000,1.000000,0.142857,0.142857,0.485714,0.228571,0.111020,0.285714,0.000000,10,3515
0.600000,0.400000,1.000000,0.333333,0.333333,0.600000,0.400000,0.240000,0.600000,0.000000,10,3438
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.250000,0.000000,10,3124
0.700000,0.500000,1.000000,0.400000,0.400000,0.640000,0.460000,0.294400,0.600000,0.000000,10,3437
0.500000,0.400000,1.000000,0.333333,0.166667,0.566667,0.366667,0.207778,0.625000,0.000000,10,3613
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.500000,0.000000,10,2978
0.600000,0.500000,0.800000,0.000000,0.400000,0.400000,0.280000,0.112000,0.571429,0.000000,10,3631
1.000000,0.800000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,0.666667,0.000000,10,2536
0.900000,0.700000,1.000000,0.333333,0.666667,0.666667,0.400000,0.266667,0.714286,0.000000,10,3359
0.700000,0.700000,1.000000,0.333333,0.000000,0.533333,0.333333,0.177778,0.666667,0.000000,10,3443
0.800000,0.700000,1.000000,0.333333,0.333333,0.600000,0.400000,0.240000,0.666667,0.000000,10,2938
0.900000,0.600000,1.000000,0.000000,0.750000,0.550000,0.100000,0.055000,0.600000,0.000000,10,3356
0.500000,0.400000,0.750000,0.500000,0.333333,0.566667,0.741667,0.420278,0.428571,0.000000,10,3570
0.400000,0.100000,1.000000,0.333333,0.333333,0.600000,0.400000,0.240000,0.142857,0.000000,10,3634
0.800000,0.600000,1.000000,0.250000,0.500000,0.600000,0.325000,0.195000,0.800000,0.000000,10,3376
0.500000,0.400000,1.000000,0.000000,0.166667,0.433333,0.100000,0.043333,0.285714,0.142857,10,3444
0.800000,0.500000,1.000000,0.200000,0.600000,0.600000,0.280000,0.168000,0.500000,0.000000,10,3307
0.600000,0.400000,1.000000,0.333333,0.333333,0.600000,0.400000,0.240000,0.333333,0.000000,10,3321
0.600000,0.300000,1.000000,0.285714,0.428571,0.600000,0.357143,0.214286,0.428571,0.000000,10,3378
0.800000,0.500000,0.800000,0.200000,0.800000,0.560000,0.460000,0.257600,0.600000,0.000000,10,3365
0.500000,0.200000,1.000000,0.375000,0.375000,0.625000,0.437500,0.273438,0.166667,0.000000,10,3575
0.400000,0.300000,1.000000,0.142857,0.142857,0.485714,0.228571,0.111020,0.200000,0.000000,10,4175
0.800000,0.600000,1.000000,0.000000,0.500000,0.500000,0.100000,0.050000,0.750000,0.000000,10,2905
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.600000,0.000000,10,3590
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.200000,0.200000,10,3517
0.400000,0.400000,1.000000,0.166667,0.000000,0.466667,0.216667,0.101111,0.142857,0.142857,10,3609
0.500000,0.400000,1.000000,0.166667,0.166667,0.500000,0.250000,0.125000,0.200000,0.000000,10,3546
0.800000,0.400000,1.000000,0.166667,0.666667,0.600000,0.250000,0.150000,0.333333,0.000000,10,3124
0.900000,0.600000,1.000000,0.250000,0.750000,0.650000,0.325000,0.211250,0.750000,0.000000,10,3018
0.600000,0.300000,1.000000,0.285714,0.428571,0.600000,0.357143,0.214286,0.600000,0.000000,10,3486
0.500000,0.600000,0.833333,0.500000,0.000000,0.533333,0.600000,0.320000,0.333333,0.000000,10,4028
0.700000,0.500000,0.800000,0.200000,0.600000,0.520000,0.460000,0.239200,0.600000,0.000000,10,3282
0.600000,0.500000,1.000000,0.600000,0.200000,0.680000,0.560000,0.380800,0.333333,0.000000,10,3185
0.800000,0.500000,1.000000,0.000000,0.600000,0.520000,0.100000,0.052000,0.500000,0.000000,10,3144
1.000000,0.800000,1.000000,0.000000,1.000000,0.600000,0.100000,0.060000,1.000000,0.000000,10,2696
0.500000,0.300000,1.000000,0.142857,0.285714,0.514286,0.228571,0.117551,0.400000,0.000000,10,3592
0.700000,0.600000,0.833333,0.000000,0.500000,0.433333,0.250000,0.108333,0.571429,0.000000,10,3057
0.600000,0.400000,0.750000,0.166667,0.500000,0.466667,0.475000,0.221667,0.500000,0.000000,10,3837
