win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.400000,0.700000,0.571429,1.000000,0.000000,0.628571,0.500000,0.314286,0.000000,0.333333,10,3404
0.300000,0.500000,0.600000,1.000000,0.000000,0.640000,0.520000,0.332800,0.000000,0.714286,10,3660
0.200000,0.400000,0.500000,1.000000,0.000000,0.600000,0.450000,0.270000,0.000000,0.600000,10,3313
0.200000,0.400000,0.500000,1.000000,0.000000,0.600000,0.450000,0.270000,0.000000,0.750000,10,2934
0.200000,0.600000,0.333333,1.000000,0.000000,0.533333,0.333333,0.177778,0.000000,0.750000,10,2803
0.400000,0.500000,0.600000,0.600000,0.200000,0.520000,0.920000,0.478400,0.000000,0.333333,10,3536
0.400000,0.600000,0.666667,1.000000,0.000000,0.666667,0.566667,0.377778,0.000000,0.250000,10,3230
0.400000,0.700000,0.571429,1.000000,0.000000,0.628571,0.500000,0.314286,0.000000,0.666667,10,3351
0.000000,0.400000,0.000000,0.833333,0.000000,0.333333,0.250000,0.083333,0.000000,1.000000,10,2923
0.300000,0.300000,0.333333,0.714286,0.285714,0.476190,0.647619,0.308390,0.000000,0.400000,10,3214
0.300000,0.600000,0.500000,1.000000,0.000000,0.600000,0.450000,0.270000,0.000000,0.666667,10,3123
0.400000,0.500000,0.800000,1.000000,0.000000,0.720000,0.660000,0.475200,0.000000,0.000000,10,2958
0.100000,0.300000,0.333333,1.000000,0.000000,0.533333,0.333333,0.177778,0.000000,0.800000,10,3125
0.100000,0.400000,0.250000,1.000000,0.000000,0.500000,0.275000,0.137500,0.250000,0.750000,10,3256
0.400000,0.500000,0.800000,1.000000,0.000000,0.720000,0.660000,0.475200,0.000000,0.333333,10,3431
0.300000,0.500000,0.600000,1.000000,0.000000,0.640000,0.520000,0.332800,0.000000,0.750000,10,3543
0.400000,0.500000,0.800000,1.000000,0.000000,0.720000,0.660000,0.475200,0.000000,0.250000,10,3103
0.300000,0.500000,0.600000,0.800000,0.000000,0.560000,0.700000,0.392000,0.000000,0.500000,10,3731
0.400000,0.600000,0.666667,1.000000,0.000000,0.666667,0.566667,0.377778,0.000000,0.000000,10,3190
0.600000,0.800000,0.750000,0.500000,0.000000,0.500000,0.675000,0.337500,0.000000,0.333333,10,3823
0.400000,0.700000,0.571429,1.000000,0.000000,0.628571,0.500000,0.314286,0.000000,0.333333,10,3324
0.600000,0.800000,0.750000,1.000000,0.000000,0.700000,0.625000,0.437500,0.000000,0.285714,10,3739
0.300000,0.500000,0.400000,0.800000,0.200000,0.520000,0.600000,0.312000,0.000000,0.600000,10,2988
0.300000,0.400000,0.750000,1.000000,0.000000,0.700000,0.625000,0.437500,0.000000,0.500000,10,3487
0.200000,0.300000,0.666667,1.000000,0.000000,0.666667,0.566667,0.377778,0.000000,1.000000,10,3144
0.300000,0.500000,0.600000,1.000000,0.000000,0.640000,0.520000,0.332800,0.000000,0.500000,10,3052
0.200000,0.300000,0.666667,0.857143,0.000000,0.609524,0.695238,0.423764,0.000000,0.800000,10,3366
0.200000,0.400000,0.500000,1.000000,0.000000,0.600000,0.450000,0.270000,0.000000,0.600000,10,3025
0.200000,0.500000,0.400000,1.000000,0.000000,0.560000,0.380000,0.212800,0.000000,0.333333,10,3126
0.200000,0.600000,0.333333,1.000000,0.000000,0.533333,0.333333,0.177778,0.000000,1.000000,10,3022
0.500000,0.600000,0.833333,0.750000,0.000000,0.633333,0.775000,0.490833,0.000000,0.500000,10,3801
0.600000,0.600000,0.833333,0.750000,0.250000,0.683333,0.825000,0.563750,0.142857,0.142857,10,3785
