win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.800000,0.600000,1.000000,0.500000,0.500000,0.700000,0.550000,0.385000,0.363636,0.090909,10,2184
0.500000,0.700000,0.714286,0.666667,0.000000,0.552381,0.823810,0.455057,0.222222,0.222222,10,2102
0.200000,0.500000,0.200000,0.800000,0.200000,0.440000,0.460000,0.202400,0.000000,0.250000,10,1506
0.300000,0.500000,0.600000,1.000000,0.000000,0.640000,0.520000,0.332800,0.125000,0.500000,10,2371
0.400000,0.600000,0.500000,0.750000,0.250000,0.550000,0.725000,0.398750,0.200000,0.300000,10,2569
0.300000,0.500000,0.400000,0.800000,0.200000,0.520000,0.600000,0.312000,0.125000,0.375000,10,2114
0.600000,0.600000,0.666667,0.500000,0.500000,0.566667,0.850000,0.481667,0.200000,0.200000,10,2293
0.400000,0.500000,0.800000,1.000000,0.000000,0.720000,0.660000,0.475200,0.111111,0.222222,10,1859
0.600000,0.500000,0.800000,0.400000,0.400000,0.560000,0.640000,0.358400,0.153846,0.230769,10,1985
0.600000,0.500000,1.000000,0.600000,0.200000,0.680000,0.560000,0.380800,0.333333,0.111111,10,2124
0.700000,0.800000,0.875000,1.000000,0.000000,0.750000,0.712500,0.534375,0.333333,0.000000,10,2205
0.600000,0.300000,1.000000,0.571429,0.428571,0.714286,0.585714,0.418367,0.285714,0.000000,10,1657
0.700000,0.600000,1.000000,0.250000,0.250000,0.550000,0.325000,0.178750,0.100000,0.200000,10,1978
0.500000,0.700000,0.714286,1.000000,0.000000,0.685714,0.600000,0.411429,0.181818,0.272727,10,1980
0.500000,0.700000,0.714286,0.666667,0.000000,0.552381,0.823810,0.455057,0.272727,0.181818,10,2396
0.400000,0.400000,0.750000,0.833333,0.166667,0.666667,0.808333,0.538889,0.166667,0.166667,10,1592
0.400000,0.400000,0.500000,0.500000,0.333333,0.466667,0.966667,0.451111,0.166667,0.166667,10,1458
0.500000,0.300000,1.000000,0.714286,0.285714,0.742857,0.657143,0.488163,0.222222,0.222222,10,1631
0.400000,0.400000,0.750000,0.666667,0.166667,0.600000,0.825000,0.495000,0.333333,0.111111,10,1875
0.700000,0.700000,0.857143,0.666667,0.333333,0.676190,0.761905,0.515193,0.083333,0.166667,10,2055
0.600000,0.400000,1.000000,0.666667,0.333333,0.733333,0.633333,0.464444,0.100000,0.200000,10,1898
0.700000,0.600000,1.000000,0.750000,0.250000,0.750000,0.675000,0.506250,0.000000,0.222222,10,1501
0.900000,0.600000,1.000000,0.250000,0.750000,0.650000,0.325000,0.211250,0.000000,0.000000,10,1384
0.500000,0.400000,0.750000,0.666667,0.333333,0.633333,0.858333,0.543611,0.250000,0.125000,10,1579
0.300000,0.300000,0.333333,0.714286,0.285714,0.476190,0.647619,0.308390,0.000000,0.375000,10,1427
0.300000,0.300000,1.000000,0.857143,0.000000,0.742857,0.700000,0.520000,0.300000,0.400000,10,2638
0.400000,0.400000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.200000,0.200000,10,1899
0.500000,0.500000,0.600000,0.400000,0.400000,0.480000,0.820000,0.393600,0.100000,0.300000,10,2077
0.300000,0.700000,0.428571,1.000000,0.000000,0.571429,0.400000,0.228571,0.000000,0.333333,10,1720
0.600000,0.700000,0.714286,0.666667,0.333333,0.619048,0.890476,0.551247,0.111111,0.111111,10,1756
0.900000,0.700000,0.857143,0.000000,1.000000,0.542857,0.200000,0.108571,0.200000,0.100000,10,1850
0.600000,0.500000,0.800000,0.400000,0.400000,0.560000,0.640000,0.358400,0.300000,0.100000,10,2221
0.400000,0.500000,0.600000,0.800000,0.200000,0.600000,0.740000,0.444000,0.000000,0.333333,10,1796
0.400000,0.600000,0.500000,0.750000,0.250000,0.550000,0.725000,0.398750,0.083333,0.333333,10,2370
0.800000,0.500000,1.000000,0.400000,0.600000,0.680000,0.460000,0.312800,0.090909,0.090909,10,1283
0.600000,0.500000,0.800000,0.600000,0.400000,0.640000,0.780000,0.499200,0.363636,0.090909,10,1975
0.500000,0.900000,0.555556,1.000000,0.000000,0.622222,0.488889,0.304198,0.200000,0.200000,10,1989
0.700000,0.500000,1.000000,0.600000,0.400000,0.720000,0.600000,0.432000,0.111111,0.111111,10,1725
0.600000,0.800000,0.750000,1.000000,0.000000,0.700000,0.625000,0.437500,0.363636,0.090909,10,2115
0.500000,0.500000,0.800000,0.800000,0.200000,0.680000,0.880000,0.598400,0.285714,0.142857,10,1907
0.300000,0.300000,0.666667,0.857143,0.142857,0.638095,0.723810,0.461859,0.083333,0.416667,10,2229
0.700000,0.400000,1.000000,0.333333,0.500000,0.633333,0.400000,0.253333,0.000000,0.200000,10,1747
0.400000,0.400000,1.000000,1.000000,0.000000,0.800000,0.800000,0.640000,0.000000,0.166667,10,1843
0.700000,0.500000,1.000000,0.600000,0.400000,0.720000,0.600000,0.432000,0.384615,0.076923,10,2374
0.600000,0.500000,1.000000,0.800000,0.200000,0.760000,0.700000,0.532000,0.000000,0.250000,10,1604
0.400000,0.600000,0.666667,1.000000,0.000000,0.666667,0.566667,0.377778,0.166667,0.333333,10,2246
0.500000,0.500000,0.800000,0.400000,0.200000,0.520000,0.600000,0.312000,0.153846,0.230769,10,2342
0.600000,0.700000,0.714286,0.666667,0.333333,0.619048,0.890476,0.551247,0.071429,0.214286,10,2841
0.700000,0.500000,0.800000,0.400000,0.600000,0.600000,0.640000,0.384000,0.000000,0.125000,10,1549
0.400000,0.400000,1.000000,0.833333,0.000000,0.733333,0.683333,0.501111,0.222222,0.222222,10,1926
0.600000,0.700000,0.857143,1.000000,0.000000,0.742857,0.700000,0.520000,0.000000,0.200000,10,1767
0.300000,0.200000,1.000000,0.625000,0.125000,0.675000,0.562500,0.379688,0.000000,0.285714,10,1765
0.500000,0.400000,1.000000,0.833333,0.166667,0.766667,0.716667,0.549444,0.285714,0.000000,10,1592
0.600000,0.700000,0.857143,1.000000,0.000000,0.742857,0.700000,0.520000,0.000000,0.000000,10,1422
0.300000,0.500000,0.600000,1.000000,0.000000,0.640000,0.520000,0.332800,0.125000,0.375000,10,1707
0.600000,0.400000,1.000000,0.500000,0.333333,0.666667,0.516667,0.344444,0.125000,0.250000,10,2026
