win_rate,expected_win_rate,successful_win_rate,successful_loss_rate,bluff_rate,skill_average,skill balance,efficiency,gains,loss,nb_hands,elapse_time [s]
0.200000,0.400000,0.500000,0.500000,0.000000,0.400000,0.900000,0.360000,0.090909,0.363636,10,2184
0.500000,0.300000,1.000000,0.571429,0.285714,0.685714,0.557143,0.382041,0.222222,0.222222,10,2102
0.800000,0.500000,0.800000,0.200000,0.800000,0.560000,0.460000,0.257600,0.250000,0.000000,10,1506
0.700000,0.500000,1.000000,0.200000,0.400000,0.560000,0.280000,0.156800,0.500000,0.125000,10,2371
0.600000,0.400000,0.750000,0.000000,0.500000,0.400000,0.325000,0.130000,0.300000,0.200000,10,2569
0.700000,0.500000,0.800000,0.000000,0.600000,0.440000,0.280000,0.123200,0.375000,0.125000,10,2114
0.400000,0.400000,0.500000,0.166667,0.333333,0.333333,0.700000,0.233333,0.200000,0.200000,10,2293
0.600000,0.500000,1.000000,0.600000,0.200000,0.680000,0.560000,0.380800,0.222222,0.111111,10,1859
0.400000,0.500000,0.600000,0.800000,0.200000,0.600000,0.740000,0.444000,0.230769,0.153846,10,1985
0.400000,0.500000,0.800000,0.600000,0.000000,0.560000,0.700000,0.392000,0.111111,0.333333,10,2124
0.300000,0.200000,1.000000,0.500000,0.125000,0.625000,0.475000,0.296875,0.000000,0.333333,10,2205
0.400000,0.700000,0.571429,0.333333,0.000000,0.361905,0.719048,0.260227,0.000000,0.285714,10,1657
0.300000,0.400000,0.750000,0.833333,0.000000,0.633333,0.775000,0.490833,0.200000,0.100000,10,1978
0.500000,0.300000,1.000000,0.428571,0.285714,0.628571,0.457143,0.287347,0.272727,0.181818,10,1980
0.500000,0.300000,1.000000,0.428571,0.285714,0.628571,0.457143,0.287347,0.181818,0.272727,10,2396
0.600000,0.600000,0.833333,0.500000,0.250000,0.583333,0.650000,0.379167,0.166667,0.166667,10,1592
0.600000,0.600000,0.666667,0.500000,0.500000,0.566667,0.850000,0.481667,0.166667,0.166667,10,1458
0.500000,0.700000,0.714286,1.000000,0.000000,0.685714,0.600000,0.411429,0.222222,0.222222,10,1631
0.600000,0.600000,0.833333,0.250000,0.250000,0.483333,0.475000,0.229583,0.111111,0.333333,10,1875
0.300000,0.300000,0.666667,0.571429,0.142857,0.523810,0.828571,0.434014,0.166667,0.083333,10,2055
0.400000,0.600000,0.666667,1.000000,0.000000,0.666667,0.566667,0.377778,0.200000,0.100000,10,1898
0.300000,0.400000,0.750000,0.833333,0.000000,0.633333,0.775000,0.490833,0.222222,0.000000,10,1501
0.100000,0.400000,0.250000,1.000000,0.000000,0.500000,0.275000,0.137500,0.000000,0.000000,10,1384
0.500000,0.600000,0.666667,0.500000,0.250000,0.516667,0.800000,0.413333,0.125000,0.250000,10,1579
0.700000,0.700000,0.714286,0.333333,0.666667,0.552381,0.657143,0.362993,0.375000,0.000000,10,1427
0.700000,0.700000,1.000000,0.333333,0.000000,0.533333,0.333333,0.177778,0.400000,0.300000,10,2638
0.600000,0.600000,1.000000,0.500000,0.000000,0.600000,0.450000,0.270000,0.200000,0.200000,10,1899
0.500000,0.500000,0.600000,0.600000,0.400000,0.560000,0.960000,0.537600,0.300000,0.100000,10,2077
0.700000,0.300000,1.000000,0.428571,0.571429,0.685714,0.485714,0.333061,0.333333,0.000000,10,1720
0.400000,0.300000,0.666667,0.428571,0.285714,0.495238,0.757143,0.374966,0.111111,0.111111,10,1756
0.100000,0.300000,0.000000,0.714286,0.142857,0.314286,0.357143,0.112245,0.100000,0.200000,10,1850
0.400000,0.500000,0.600000,0.400000,0.200000,0.440000,0.780000,0.343200,0.100000,0.300000,10,2221
0.600000,0.500000,0.800000,0.600000,0.400000,0.640000,0.780000,0.499200,0.333333,0.000000,10,1796
0.600000,0.400000,0.750000,0.333333,0.500000,0.533333,0.625000,0.333333,0.333333,0.083333,10,2370
0.200000,0.500000,0.400000,1.000000,0.000000,0.560000,0.380000,0.212800,0.090909,0.090909,10,1283
0.400000,0.500000,0.600000,0.400000,0.200000,0.440000,0.780000,0.343200,0.090909,0.363636,10,1975
0.500000,0.100000,1.000000,0.333333,0.444444,0.622222,0.400000,0.248889,0.200000,0.200000,10,1989
